LINEA,VCESTIL,PARES,FAMPESP,FAMMONT,DEPTO,FUNCION,TIEMPO,PERSONAS,META
ANDSABRINA,783,0,1,2,CORTE,A-PESPUNTADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,A-PRELIMINAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,APOMAZAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,B-PESPUNTADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,B-PRELIMINAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,C-PESPUNTADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,C-PRELIMINAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-COR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-DOB,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-MON,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PEG,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PESA,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PESB,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PESC,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PREA,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PREB,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-PREC,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CA-REB,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CARDADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CENTRADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,COMODIN CORTE,0,0,100
ANDSABRINA,783,0,1,2,CORTE,COMODIN MONTADO,0,0,100
ANDSABRINA,783,0,1,2,CORTE,COMODIN PESPUNT,0,0,100
ANDSABRINA,783,0,1,2,CORTE,COMODIN PREACAB,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CONFORMAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CORTADOR FLASH,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CORTADOR FORRO,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CORTADOR LASER,0,0,100
ANDSABRINA,783,0,1,2,CORTE,CORTADOR PIEL,18,0.5,100
ANDSABRINA,783,0,1,2,CORTE,DESVIRAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,DISTRIBUIDOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,DOBLILLADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,DOMAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,EMB-AVIO,0,0,100
ANDSABRINA,783,0,1,2,CORTE,EMBARRADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,EMPACADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,ENCERQUILLADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,ENTACONADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,FORRAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,MONTADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,PEG-AVIO,0,0,100
ANDSABRINA,783,0,1,2,CORTE,PEGADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,PREACABADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,PRECONFORMADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,PRECONFORMAR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,REBAJADOR,0,0,100
ANDSABRINA,783,0,1,2,CORTE,RECORTADOR AVIO,0,0,100
ANDSABRINA,783,0,1,2,CORTE,RECORTADOR AVIO,0,0,100
ANDSABRINA,783,0,1,2,CORTE,RESACAR PLANTAS,0,0,100
ANDSABRINA,783,0,1,2,CORTE,RESACAR PLANTAS,0,0,100
