"ESTILO","FAMPESP","DOBLILLADOR","FORRAR","PRELIMINAR","RIBETEAR"
"10300",1,0,28,98,0
"10302",4,10,0,135,12.5
"10303",6,0,0,0,0
"10551",5,10,0,135,12.5
"10552",5,10,0,135,12.5
"10554",1,20,0,270,25
"10673",1,0,28,201,12.5
"10693",2,0,28,201,12.5
"10699",4,0,28,201,12.5
"10700",5,0,28,201,12.5
"10708",5,0,0,0,0
"10709",1,0,0,0,0
"11002",2,0,0,0,0
"11061",4,0,0,0,0
"11077",4,0,0,159,84.5
"11122",5,0,0,0,0
"11123",1,0,0,159,84.5
"11129",4,0,0,159,84.5
"11131",1,0,0,159,84.5
"11571",1,0,28,98,0
"11932",4,10,0,135,12.5
"11933",2,10,0,135,12.5
"11973",2,0,0,159,84.5
"11974",4,0,0,159,84.5
"11977",5,0,0,0,0
"12161",2,10,0,135,12.5
"12164",4,10,0,135,12.5
"12647",2,0,28,98,0
"12841",2,20,0,270,25
"12842",2,0,28,201,12.5
"12981",4,10,0,135,12.5
"12982",5,10,0,135,12.5
"12984",4,10,0,135,12.5
"13275",4,10,0,135,12.5
"13276",4,10,0,135,12.5
"13279",2,10,0,135,12.5
"13584",1,10,0,135,12.5
"13627",2,10,0,135,12.5
"13681",6,0,0,0,0
"13683",6,0,0,0,0
"13901",2,0,0,0,0
"13904",5,0,28,201,12.5
"13906",4,0,28,98,0
"14076",2,10,0,135,12.5
"14501",1,0,56,196,0
"14574",4,10,0,135,12.5
"14862",1,0,0,0,0
"1525",6,10,0,135,12.5
"1645",4,0,56,196,0
"18298",5,10,0,135,12.5
"18299",6,10,0,152,12.5
"18300",4,0,28,98,0
"18301",4,0,28,98,0
"18302",2,0,0,103,12.5
"18303",4,0,28,98,0
"18311",2,20,0,270,25
"18312",6,10,0,135,12.5
"18314",2,0,28,201,12.5
"18318",6,20,0,270,25
"18320",1,10,0,135,12.5
"18411",2,0,56,196,0
"30021",5,10,0,135,12.5
"30022",2,10,0,160,0
"30091",5,0,0,0,0
"30092",6,0,0,0,0
"30093",5,0,0,0,0
"30245",5,0,0,0,0
"35311",5,10,0,160,0
"35312",4,10,0,135,12.5
"4006",5,0,0,0,0
"40071",5,0,0,0,0
"40074",5,0,0,0,0
"40801",6,0,0,0,0
"40802",5,0,0,0,0
"40803",5,0,0,0,0
"50011",5,10,0,135,12.5
"50013",1,10,0,135,12.5
"60086",1,0,0,0,0
"60251",1,0,28,201,12.5
"60253",2,0,28,201,12.5
"65033",5,0,0,0,0
"75015",2,0,28,201,12.5
"75017",2,0,56,196,0
"75275",2,10,0,135,12.5
"80267",5,0,0,0,0
"80268",6,0,0,0,0
"8041",5,0,0,0,0
"8043",5,0,0,0,0
"8044",6,0,0,0,0
"8053",5,0,0,0,0
"8060",5,0,0,0,0
"8274",5,0,0,0,0
"85081",2,0,28,201,12.5
"90078",4,10,0,135,12.5
"90081",1,10,0,135,12.5
"90083",5,10,0,135,12.5
"90084",4,10,0,135,12.5
"90117",5,0,0,0,0
"90742",1,0,0,0,0
"90747",4,10,0,135,12.5
"95041",1,0,28,201,12.5
"95042",1,10,28,233,12.5
"95161",2,10,0,135,12.5
"95162",4,10,0,135,12.5
"P5010",3,0,0,0,0
"P5012",3,0,0,0,0
"P5016",3,0,0,0,0
"P5017",3,0,0,0,0
"P5020",3,0,0,0,0
"P5021",3,0,0,0,0
"P5022",3,0,0,0,0
"P5023",3,0,0,0,0
"P5024",3,0,0,0,0
"P5033",3,0,0,0,0
"P5034",3,0,0,0,0
"P5036",3,0,0,0,0
"P5037",3,0,0,0,0
"P5038",3,0,0,0,0
"P5042",3,0,0,0,0
"P5043",3,0,0,0,0
"P5044",3,0,0,0,0
"P5056",3,0,0,0,0
"P5078",3,0,0,0,0
"P5079",3,0,0,0,0
"P5083",3,0,0,0,0
"P5099",3,0,0,0,0
"P5100",3,0,0,0,0
"P5101",3,0,0,0,0
"P5102",3,0,0,0,0
"P5107",3,0,0,0,0
"P5109",3,0,0,0,0
"P5111",3,0,0,0,0
"P5112",3,0,0,0,0
"P5114",3,0,0,0,0
"P5117",3,0,0,0,0
"P5118",3,0,0,0,0
"P5121",3,0,0,0,0
"P5122",3,0,0,0,0
"P5123",3,0,0,0,0
"P5124",3,0,0,0,0
"P5125",3,0,56,196,0
"P5126",3,0,56,196,0
"P5127",3,0,0,0,0
"P5128",3,0,0,0,0
"PB003",3,0,0,0,0
"PB004",3,0,0,0,0
"PB012",3,0,0,0,0
"PB019",3,0,0,0,0
"PB023",3,0,0,0,0
