"ESTILO","FAMPESP","APOMAZAR","DESVIRAR","EMB-AVIO","PRELIMINAR","SUAJADOR"
"10300",1,0,36,0,69,8
"10302",4,0,72,0,138,16
"10303",6,0,0,0,0,0
"10551",5,0,36,0,69,8
"10552",5,0,36,0,69,8
"10554",1,0,72,0,138,16
"10673",1,0,36,0,69,8
"10693",2,0,36,0,69,8
"10699",4,0,36,0,69,8
"10700",5,0,36,0,69,8
"10708",5,0,0,0,0,0
"10709",1,0,0,0,0,0
"11002",2,0,0,0,0,0
"11061",4,0,0,46,115,0
"11077",4,0,36,0,69,8
"11122",5,0,0,0,0,0
"11123",1,0,36,0,69,8
"11129",4,0,36,0,69,8
"11131",1,0,36,0,69,8
"11571",1,0,36,0,69,8
"11932",4,0,0,46,115,0
"11933",2,0,0,46,115,0
"11973",2,0,36,0,69,8
"11974",4,0,36,0,69,8
"11977",5,0,0,0,0,0
"12161",2,0,36,0,69,8
"12164",4,0,36,0,69,8
"12647",2,0,0,60,180,0
"12841",2,0,72,0,138,16
"12842",2,0,36,0,69,8
"12981",4,0,36,0,69,8
"12982",5,0,36,0,69,8
"12984",4,0,36,0,69,8
"13275",4,0,36,0,69,8
"13276",4,0,36,0,69,8
"13279",2,0,36,0,69,8
"13584",1,0,36,0,69,8
"13627",2,0,36,0,69,8
"13681",6,0,0,0,0,0
"13683",6,0,0,0,0,0
"13901",2,0,0,0,0,0
"13904",5,0,36,0,69,8
"13906",4,0,36,0,69,8
"14076",2,0,36,0,69,8
"14501",1,0,36,0,69,8
"14574",4,0,0,46,115,0
"14862",1,0,0,0,0,0
"1525",6,0,36,0,69,8
"1645",4,0,36,0,69,8
"18298",5,0,36,0,69,8
"18299",6,0,36,0,69,8
"18300",4,0,72,0,138,16
"18301",4,0,36,0,69,8
"18302",2,0,36,46,184,8
"18303",4,0,72,0,138,16
"18311",2,0,72,0,138,16
"18312",6,0,36,0,69,8
"18314",2,0,36,0,69,8
"18318",6,0,72,0,138,16
"18320",1,0,36,0,69,8
"18411",2,0,36,0,69,8
"30021",5,0,0,46,115,0
"30022",2,0,0,0,161,0
"30091",5,0,0,46,115,0
"30092",6,0,0,46,115,0
"30093",5,0,0,46,115,0
"30245",5,0,36,0,69,8
"35311",5,0,0,0,161,0
"35312",4,0,0,46,115,0
"4006",5,0,0,0,0,0
"40071",5,0,0,46,115,0
"40074",5,0,0,46,115,0
"40801",6,0,0,46,115,0
"40802",5,0,0,92,230,0
"40803",5,0,0,46,115,0
"50011",5,0,36,0,69,8
"50013",1,0,36,0,69,8
"60086",1,0,0,0,0,0
"60251",1,0,36,0,69,8
"60253",2,0,36,0,69,8
"65033",5,0,0,46,115,0
"75015",2,0,36,0,69,8
"75017",2,0,36,0,69,8
"75275",2,0,36,0,69,8
"80267",5,0,36,0,69,8
"80268",6,0,36,0,69,8
"8041",5,0,0,0,0,0
"8043",5,0,36,0,69,8
"8044",6,0,72,0,138,16
"8053",5,0,36,0,69,8
"8060",5,0,0,0,0,0
"8274",5,0,0,0,0,0
"85081",2,0,36,0,69,8
"90078",4,0,36,0,69,8
"90081",1,0,36,0,69,8
"90083",5,0,36,0,69,8
"90084",4,0,36,0,69,8
"90117",5,0,0,0,0,0
"90742",1,0,0,0,0,0
"90747",4,0,36,0,69,8
"95041",1,0,36,0,69,8
"95042",1,0,36,0,69,8
"95161",2,0,0,46,115,0
"95162",4,0,0,46,115,0
"P5010",3,30,36,0,141,0
"P5012",3,30,36,0,141,0
"P5016",3,0,0,0,0,0
"P5017",3,0,0,0,0,0
"P5020",3,30,36,0,141,0
"P5021",3,30,36,0,141,0
"P5022",3,0,0,0,0,0
"P5023",3,0,0,0,0,0
"P5024",3,0,0,0,0,0
"P5033",3,0,0,0,0,0
"P5034",3,0,0,0,0,0
"P5036",3,0,0,0,0,0
"P5037",3,30,36,0,141,0
"P5038",3,30,36,0,141,0
"P5042",3,30,36,0,141,0
"P5043",3,0,0,0,0,0
"P5044",3,30,36,0,141,0
"P5056",3,0,0,0,0,0
"P5078",3,30,36,0,141,0
"P5079",3,30,36,0,141,0
"P5083",3,0,0,0,0,0
"P5099",3,0,0,0,0,0
"P5100",3,30,36,0,141,0
"P5101",3,30,72,0,210,8
"P5102",3,0,0,0,0,0
"P5107",3,0,0,0,0,0
"P5109",3,0,0,0,0,0
"P5111",3,0,0,0,0,0
"P5112",3,0,0,0,0,0
"P5114",3,30,36,0,141,0
"P5117",3,30,36,0,141,0
"P5118",3,30,36,0,141,0
"P5121",3,30,36,0,141,0
"P5122",3,30,36,0,141,0
"P5123",3,30,36,0,141,0
"P5124",3,0,0,0,0,0
"P5125",3,30,36,0,141,0
"P5126",3,30,36,0,141,0
"P5127",3,0,0,0,0,0
"P5128",3,0,0,0,0,0
"PB003",3,0,0,0,0,0
"PB004",3,0,0,0,0,0
"PB012",3,0,0,0,0,0
"PB019",3,0,0,0,0,0
"PB023",3,0,0,0,0,0
