DEPTO,VCESTIL,FAMPESP,FUNCION,Promedio de TIEMPO
CORTE,10300,1,CORTADOR PIEL,42
CORTE,10302,4,CORTADOR PIEL,92
CORTE,10303,6,CORTADOR PIEL,58
CORTE,10551,5,CORTADOR PIEL,96
CORTE,10551,5,C-PRELIMINAR,36
CORTE,10552,5,CORTADOR PIEL,106
CORTE,10552,5,C-PRELIMINAR,36
CORTE,10554,1,CORTADOR PIEL,269
CORTE,10554,1,C-PRELIMINAR,36
CORTE,10673,1,CORTADOR PIEL,77
CORTE,10673,1,C-PRELIMINAR,36
CORTE,10693,2,CORTADOR PIEL,79
CORTE,10693,2,C-PRELIMINAR,36
CORTE,10699,4,CORTADOR PIEL,134
CORTE,10699,4,C-PRELIMINAR,36
CORTE,10700,5,CORTADOR PIEL,129
CORTE,10700,5,C-PRELIMINAR,36
CORTE,10708,5,CORTADOR PIEL,50
CORTE,10709,1,CORTADOR PIEL,77
CORTE,10709,1,C-PRELIMINAR,36
CORTE,11002,2,CORTADOR PIEL,154
CORTE,11002,2,C-PRELIMINAR,36
CORTE,11061,4,CORTADOR PIEL,92
CORTE,11061,4,C-PRELIMINAR,36
CORTE,11077,4,CORTADOR PIEL,36
CORTE,11122,5,CORTADOR PIEL,294
CORTE,11122,5,C-PRELIMINAR,36
CORTE,11123,1,CORTADOR PIEL,269
CORTE,11123,1,C-PRELIMINAR,36
CORTE,11129,4,CORTADOR PIEL,97
CORTE,11129,4,C-PRELIMINAR,36
CORTE,11131,1,CORTADOR PIEL,107
CORTE,11131,1,C-PRELIMINAR,36
CORTE,11571,1,CORTADOR PIEL,75
CORTE,11932,4,CORTADOR PIEL,109
CORTE,11932,4,C-PRELIMINAR,36
CORTE,11933,2,CORTADOR PIEL,92
CORTE,11933,2,C-PRELIMINAR,36
CORTE,11973,2,CORTADOR PIEL,338
CORTE,11973,2,C-PRELIMINAR,36
CORTE,11974,4,CORTADOR PIEL,36
CORTE,11977,5,CORTADOR PIEL,50
CORTE,12161,2,CORTADOR PIEL,87
CORTE,12161,2,C-PRELIMINAR,36
CORTE,12164,4,CORTADOR PIEL,269
